"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence ISO (1)";"Contenu ISO (1)";"Référence ISO (2)";"Contenu ISO (2)";"Référence ISO (3)";"Contenu ISO (3)";"Référence ISO (4)";"Contenu ISO (4)";"Référence ISO (5)";"Contenu ISO (5)";"Référence ISO (6)";"Contenu ISO (6)";"Référence ISO (7)";"Contenu ISO (7)"
"1.1-EI/EE";"L’entité liste l’ensemble de ses activités et services, y compris les activités et services qui ne correspondent pas aux critères pour lesquels l’entité constitue une entité importante ou essentielle (par exemple : une entité essentielle au titre d’une activité exploitation d’un oléoduc doit lister, en plus des activités et services participant à l’exploitation de l’oléoduc, tous les services et les autres activités qu’elle fournit).
Pour chaque entrée de cette liste, l’entité :
•	identifie un responsable de l’activité ou du service (par exemple le chef de service auquel est rattachée l'activité ou le service, un directeur métier, la direction générale) ;
•	liste les systèmes d’information les supportant.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.9 Inventaire des informations et autres actifs associés";"5.9 Inventaire des informations et autres actifs associés";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";;;;;;;;;;
"1.2-EI/EE";"L’entité précise dans la liste prévue au 1.1-EI/EE les systèmes d’information qui ne sont exposés à aucun des risques mentionnés à l’alinéa 2 de l’objectif de sécurité.
L’entité renseigne les justifications de ces choix.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"faible";"Cette mesure est une spécificité de la transposition nationale de la directive NIS 2 pour répondre au principe de proportionnalité inscrit dans la directive.";;;;;;;;;;;;;;
"1.3-EI/EE";"L’entité valide et réexamine annuellement la liste prévue au 1.1-EI/EE, et en tant que de besoin, notamment en cas d’évolution des activités et services de l’entité ou en cas de mise en service d’un nouveau système d’information.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"faible";"Cette mesure est une spécificité de la transposition nationale de la directive NIS 2 pour répondre au principe de proportionnalité inscrit dans la directive.";;;;;;;;;;;;;;
"2.A.1-EI/EE";"Le dirigeant exécutif de l’entité est responsable de la sécurité numérique au sein de son entité et en particulier du suivi de la conformité des systèmes d’information aux présentes mesures.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle";"élevé";"La norme ISO 27001 ne fait pas porter explicitement la responsabilité de la sécurité numérique à la direction.";"27001:2022-5.1 Leadership et engagement";"5.1 Leadership et engagement";"27002:2022-5.4 Responsabilités de la direction";"5.4 Responsabilités de la direction";"27002:2022-5.31 Exigences légales, statutaires, réglementaires et contractuelles";"5.31 Exigences légales, statutaires, réglementaires et contractuelles";;;;;;;;
"2.A.2-EE";"Il désigne au moins une personne qui le conseille et l’accompagne dans l’exercice de cette responsabilité. Cette personne est le point de contact privilégié de l’Agence nationale de la sécurité des systèmes d’information pour tous les sujets relatifs à la sécurité numérique (notamment incidents de sécurité, communications de l’ANSSI sur les sujets relatifs aux entités essentielles)";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteEssentielle";"élevé";"La norme ISO 27001 ne donne pas de détail et laisse à l'entité le soin de définir l'organisation de la sécurité numérique la plus adaptée. Le référentiel NIS 2, lui, invite le dirigeant exécutif à s'entourer, au minimum, d'une personne pour le conseiller sur les sujets de sécurité numérique et qui sera le point de contact privilégié de l'ANSSI.";"27001:2022-5.3 Rôles, responsabilités et autorités au sein de l'organisation";"5.3 Rôles, responsabilités et autorités au sein de l'organisation";"27002:2022-5.2 Fonctions et responsabilités liées à la sécurité de l'information";"5.2 Fonctions et responsabilités liées à la sécurité de l'information";"27002:2022-5.5 Contacts avec les autorités";"5.5 Contacts avec les autorités";;;;;;;;
"2.A.3-EI/EE";"L’entité définit et met en œuvre une organisation adaptée pour assurer sa sécurité numérique (par exemple : la désignation d’un responsable de la sécurité numérique, l’établissement d’un RACI, la mise en place d’une comitologie).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-5.3 Rôles, responsabilités et autorités au sein de l'organisation";"5.3 Rôles, responsabilités et autorités au sein de l'organisation";"27002:2022-5.2 Fonctions et responsabilités liées à la sécurité de l'information";"5.2 Fonctions et responsabilités liées à la sécurité de l'information";;;;;;;;;;
"2.B.1-EI/EE";"L’entité définit et met en œuvre une politique de sécurité des systèmes d’information (PSSI).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-5.1 Leadership et engagement";"5.1 Leadership et engagement";"27001:2022-5.2 Politique";"5.2 Politique";"27002:2022-5.1 Politiques de sécurité de l'information";"5.1 Politiques de sécurité de l'information";;;;;;;;
"2.B.2-EI/EE";"Cette PSSI comprend au moins :
•	L’organisation de la gouvernance de la sécurité numérique et notamment les rôles et les responsabilités du personnel interne et externe (par exemple : prestataires, fournisseurs) ;
•	Les orientations et objectifs stratégiques en matière de sécurité numérique déclinés de la stratégie globale de l’entité ;
•	L’engagement du dirigeant exécutif de l’entité à assurer la sécurité numérique des systèmes d’information dont il est responsable ;
•	L’engagement du dirigeant exécutif de l’entité à respecter les exigences légales et réglementaires et en particulier celles définies dans la transposition nationale de la directive NIS 2.
•	La PSSI tient également compte des exigences, procédures et spécificités propres au(x) secteur(s) dans lesquels l’entité exerce ses activités.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-5.1 Leadership et engagement";"5.1 Leadership et engagement";"27001:2022-5.2 Politique";"5.2 Politique";"27002:2022-5.1 Politiques de sécurité de l'information";"5.1 Politiques de sécurité de l'information";;;;;;;;
"2.B.3-EI/EE";"Le dirigeant exécutif de l’entité approuve la PSSI.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-5.1 Leadership et engagement";"5.1 Leadership et engagement";"27001:2022-5.2 Politique";"5.2 Politique";"27002:2022-5.1 Politiques de sécurité de l'information";"5.1 Politiques de sécurité de l'information";;;;;;;;
"2.B.4-EI/EE";"La PSSI est au minimum revue annuellement et mise à jour lorsque nécessaire, notamment en cas d’évolutions majeures de la menace, du contexte métier, technique ou organisationnel intervenues après son approbation.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";"La norme ISO 27001 ne précise pas la fréquence de révision de la PSSI alors que le référentiel NIS 2 appelle les organisations à s'interroger au moins annuellement sur la nécessité de revoir cette politique.";"27002:2022-5.1 Politiques de sécurité de l'information";"5.1 Politiques de sécurité de l'information";;;;;;;;;;;;
